Atlantic bluefin tuna Global,Americas,Gear not known,1006,,996,,622,,1083,,768,,539,,247,,500,,997,,506,,415,,344,,680,,1510,,1111,,1371,,3999,,732,,824,,1301,,910,,1432,,1598,,1088,,3484,,1190,,1232,,1440,,1316,,1183,,1071,,982,,850,,1329,,1056,,1063,,684,,899,,1040,,1556,,1542,,1661,,1096,,1289,,1190,,1570,,1555,,1547,,1521,,1448,,1420,,1873,,2170,,1622,,1267,,1021,,1093,,1090,,1235,,1394,,1154,
Atlantic bluefin tuna Global,Americas,Longlines (nei),0,-,0,-,7,,1,,0,-,5,,0,-,16,,40,,83,,1,,0,-,132,,367,,303,,318,,604,,2432,,1381,,470,,200,,2,,0,-,8,,1,,40,,226,,305,,230,,34,,139,,149,,58,,115,,153,,172,,702,,349,,433,,300,,354,,599,,840,,670,,1694,,1734,,3676,,696,,196,,281,,318,,160,,366,,361,,355,,290,,287,,242,,273,,411,,325,
Atlantic bluefin tuna Global,Americas,Purse seines,1,,100,,0,-,0,-,55,,0,-,0,-,0,-,138,,781,,277,,903,,3768,,5770,,5150,,3331,,1006,,2082,,687,,1118,,4288,,3769,,2011,,1656,,960,,2320,,1582,,1502,,1230,,1381,,758,,910,,237,,384,,401,,377,,360,,367,,383,,385,,384,,237,,300,,295,,301,,249,,245,,250,,249,,260,,275,,196,,208,,265,,32,,178,,4,,28,,0,-,11,,0,-
Atlantic bluefin tuna Global,Asia,Gear not known,0,-,0,-,0,-,0,-,0,-,0,-,0,-,800,,400,,500,,300,,300,,200,,100,,0,-,100,,100,,1488,,310,,393,,138,,22,,68,,66,,34,,17,,181,,177,,127,,27,,391,,565,,825,,557,,869,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,4,,0,-,1,,14,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,3,,0,-,0,-
Atlantic bluefin tuna Global,Asia,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,0,-,63,,34,,256,,820,,577,,3703,,7809,,12626,,9551,,2521,,794,,435,,239,,135,,1557,,712,,1456,,5383,,5702,,5856,,5778,,3783,,4404,,4965,,4409,,3863,,4014,,3259,,2624,,1874,,2174,,2546,,1572,,2196,,3764,,3995,,4202,,4562,,6483,,5800,,4598,,4875,,3819,,3983,,3869,,4297,,3611,,3229,,3692,,3068,,2461,,3059,,2128,,1549,
Atlantic bluefin tuna Global,Asia,Mechanized lines and pole-and-lines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,3,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Atlantic bluefin tuna Global,Asia,Purse seines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,41,,69,,972,,1343,,1707,,2059,,2459,,2817,,3084,,3466,,4219,,4616,,5093,,5899,,1200,,1070,,2100,,2300,,3300,,1869,,2135,,806,,1211,,1367,,767,,443,
Atlantic bluefin tuna Global,Europe,Gear not known,12782,,11147,,12742,,15474,,13115,,14472,,14095,,16201,,13396,,10892,,10441,,10495,,8707,,5997,,6805,,7002,,3220,,5977,,3506,,4203,,2860,,1903,,1380,,1122,,867,,1282,,1267,,1566,,1327,,2006,,925,,1228,,2350,,2835,,5090,,5357,,4366,,4008,,5812,,4621,,4670,,2689,,3862,,4041,,4016,,4735,,4278,,5703,,3148,,3908,,4036,,3253,,3734,,2620,,2091,,2584,,2413,,2624,,1826,,2011,,2154,
Atlantic bluefin tuna Global,Europe,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,19,,0,-,800,,363,,434,,541,,341,,657,,485,,276,,214,,124,,274,,213,,143,,275,,115,,118,,223,,124,,238,,682,,305,,138,,228,,179,,254,,259,,242,,276,,696,,575,,653,,2226,,3516,,3297,,3250,,1118,,2030,,1750,,1595,,1269,,1380,,1269,,1340,,1461,,1157,,1262,,1171,,813,
Atlantic bluefin tuna Global,Europe,Mechanized lines and pole-and-lines,2865,,3979,,3786,,3556,,4430,,4448,,2791,,3154,,2829,,3052,,1198,,1453,,1537,,1178,,1076,,1820,,3347,,1805,,1474,,1826,,3017,,3055,,3032,,3142,,2348,,2918,,1710,,2813,,3593,,2034,,1499,,1222,,885,,1872,,3960,,2282,,1414,,1821,,1936,,1971,,1718,,1593,,1299,,3495,,1979,,2808,,4990,,3525,,2561,,1496,,1821,,2275,,2568,,1379,,1808,,2023,,1115,,2032,,1795,,1259,,724,
Atlantic bluefin tuna Global,Europe,Purse seines,2857,,7259,,15753,,11281,,13391,,14295,,5932,,7058,,4465,,3629,,4440,,9025,,9149,,1700,,2722,,2941,,2876,,4934,,4094,,4471,,2863,,4515,,4513,,4745,,8986,,9013,,14498,,10309,,7499,,6048,,8676,,8591,,12073,,10449,,10032,,11051,,9309,,7737,,9702,,7649,,8809,,9393,,13349,,13367,,19098,,16833,,18660,,17061,,12600,,10201,,12197,,11726,,11725,,12339,,12911,,15728,,14833,,16757,,7244,,7231,,2758,
Atlantic bluefin tuna Global,Europe,Trolling lines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,11,,0,-,65,,4,,9,,312,,94,,526,,362,,164,,1291,,722,,471,,915,,311,,746,,713,,300,,204,,277,,555,,318,,507,,373,,380,,235,,102,,194,,151,,80,,39,,112,,195,,125,,0,-,1,,0,-,0,-
Bigeye tuna Global,Africa,Gear not known,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,5,,25,,63,,60,,114,,131,,34,,90,,98,,107,,145,,131,,359,,116,,169,,190,,275,,468,,348,,212,,221,,181,,975,,1002,,1057,,994,,972,,962,,22,,47,,47,,63,,102,,50,
